"('mid',)","('pid',)"
tt0004499,nm0000122
tt0004518,nm0000122
tt0004546,nm0000122
tt0004635,nm0747409
tt0004635,nm0001124
tt0004635,nm0002177
tt0004637,nm0000122
tt0004637,nm0404327
tt0004670,nm0000122
tt0004670,nm0784407
tt0004681,nm0924842
tt0004681,nm0775976
tt0004693,nm0000122
tt0004707,nm0215874
tt0004707,nm0404327
tt0004707,nm0784407
tt0004707,nm1100197
tt0004707,nm0808086
tt0004712,nm0417905
tt0004712,nm0869321
tt0004730,nm0926190
tt0004736,nm0000122
tt0004743,nm0832952
tt0004743,nm0014571
tt0004743,nm0574737
tt0004766,nm0936644
tt0004766,nm0479052
tt0004825,nm0205244
tt0004825,nm0869665
tt0004838,nm0166693
tt0004838,nm0408436
tt0004838,nm0837989
tt0004872,nm0035854
tt0004872,nm0377958
tt0004872,nm0869665
tt0004873,nm0140902
tt0004873,nm0950148
tt0004936,nm0000122
tt0004971,nm0292470
tt0004972,nm0228746
tt0004972,nm0000428
tt0004972,nm0940488
tt0005044,nm0000122
tt0005059,nm0001124
tt0005059,nm0534221
tt0005060,nm0617737
tt0005060,nm0210352
tt0005074,nm0000122
tt0005077,nm0000122
tt0005077,nm0617737
tt0005078,nm0877318
tt0005078,nm0534221
tt0005084,nm0172413
tt0005149,nm0408436
tt0005204,nm0046082
tt0005204,nm0369841
tt0005214,nm0703446
tt0005214,nm0127511
tt0005220,nm0138043
tt0005246,nm0000428
tt0005246,nm0855139
tt0005302,nm0761168
tt0005302,nm0456804
tt0005302,nm0547966
tt0005336,nm0304098
tt0005339,nm0115063
tt0005339,nm0456017
tt0005339,nm0564946
tt0005354,nm0606791
tt0005354,nm0690795
tt0005402,nm0001124
tt0005402,nm0534221
tt0005414,nm1059317
tt0005414,nm0060364
tt0005489,nm0000122
tt0005489,nm0663860
tt0005529,nm0159725
tt0005542,nm0000122
tt0005557,nm0408436
tt0005557,nm0837989
tt0005571,nm0000122
tt0005622,nm0823088
tt0005679,nm0906080
tt0005680,nm0047678
tt0005680,nm0665163
tt0005719,nm0127511
tt0005719,nm0365381
tt0005809,nm0507150
tt0005809,nm0791017
tt0005810,nm0000122
tt0005812,nm0000122
tt0005864,nm0371278
tt0005891,nm0694632
tt0005910,nm0001211
tt0005916,nm0061955
tt0005916,nm0877057
tt0005951,nm0268750
tt0005951,nm0553806
tt0005955,nm0102643
tt0005955,nm0371977
tt0005960,nm0452976
tt0005960,nm0909825
tt0005960,nm0361882
tt0005960,nm0352506
tt0006032,nm0000122
tt0006115,nm0784407
tt0006177,nm0000122
tt0006182,nm0238900
tt0006182,nm0408863
tt0006182,nm0693337
tt0006206,nm0275421
tt0006309,nm0000122
tt0006313,nm0000122
tt0006327,nm0210352
tt0006333,nm0894523
tt0006333,nm0665737
tt0006349,nm0523932
tt0006357,nm0002616
tt0006414,nm0117018
tt0006414,nm0000122
tt0006414,nm1176713
tt0006449,nm0403319
tt0006482,nm0412257
tt0006482,nm0118329
tt0006494,nm0216698
tt0006494,nm0244598
tt0006494,nm0546917
tt0006509,nm0813905
tt0006517,nm0837989
tt0006548,nm0117018
tt0006548,nm0000122
tt0006548,nm1176713
tt0006589,nm0813905
tt0006589,nm0936767
tt0006614,nm0916665
tt0006614,nm0041273
tt0006614,nm0216583
tt0006614,nm0780107
tt0006617,nm1597717
tt0006617,nm0039377
tt0006617,nm0803705
tt0006617,nm9320228
tt0006664,nm0228746
tt0006668,nm0000779
tt0006684,nm0000122
tt0006684,nm0117018
tt0006684,nm1176713
tt0006688,nm0048874
tt0006688,nm0127511
tt0006689,nm0000122
tt0006689,nm0117018
tt0006689,nm1176713
tt0006731,nm0566338
tt0006736,nm0001196
tt0006745,nm0566338
tt0006753,nm0366610
tt0006753,nm0002616
tt0006764,nm0000779
tt0006780,nm0837989
tt0006809,nm0256221
tt0006809,nm0002616
tt0006826,nm0000428
tt0006864,nm0048512
tt0006864,nm0115218
tt0006864,nm0000428
tt0006864,nm0002616
tt0006864,nm0640437
tt0006864,nm1578667
tt0006864,nm0940488
tt0006886,nm0077220
tt0006886,nm0275421
tt0006997,nm0665163
tt0007047,nm0169665
