"('mid',)","('pid',)"
tt0004102,nm0000122
tt0004108,nm0000122
tt0004134,nm0916665
tt0004150,nm0193327
tt0004181,nm0000428
tt0004189,nm0499883
tt0004194,nm0784407
tt0004210,nm0000122
tt0004212,nm0000779
tt0004277,nm0635667
tt0004277,nm0784407
tt0004279,nm0635667
tt0004280,nm0784407
tt0004282,nm0784407
tt0004284,nm0635667
tt0004286,nm0531759
tt0004288,nm0499883
tt0004311,nm0000122
tt0004390,nm0061955
tt0004393,nm0884171
tt0004395,nm0000122
tt0004408,nm0784407
tt0004413,nm0349785
tt0004457,nm0531759
tt0004465,nm0309163
tt0004465,nm0533289
tt0004499,nm0000122
tt0004518,nm0000122
tt0004546,nm0000122
tt0004635,nm0001124
tt0004635,nm0002177
tt0004637,nm0629589
tt0004670,nm0784407
tt0004681,nm0692105
tt0004693,nm0000122
tt0004707,nm0784407
tt0004707,nm0071658
tt0004712,nm0002031
tt0004730,nm0926190
tt0004736,nm1802226
tt0004736,nm0000122
tt0004743,nm0198523
tt0004766,nm0001124
tt0004825,nm0869665
tt0004838,nm0054977
tt0004872,nm0869665
tt0004873,nm0950148
tt0004936,nm0000122
tt0004971,nm0942917
tt0004972,nm0000428
tt0005044,nm0000122
tt0005059,nm0001124
tt0005060,nm0001124
tt0005074,nm0000122
tt0005077,nm0000122
tt0005077,nm0925118
tt0005078,nm0001124
tt0005084,nm0172413
tt0005147,nm0827509
tt0005149,nm0054977
tt0005149,nm0408436
tt0005198,nm0639891
tt0005204,nm0942917
tt0005205,nm0942917
tt0005214,nm0127511
tt0005220,nm0138043
tt0005246,nm0127511
tt0005302,nm0456804
tt0005309,nm0000779
tt0005310,nm0000779
tt0005312,nm0000779
tt0005313,nm0000779
tt0005314,nm0000779
tt0005315,nm0000779
tt0005317,nm0000779
tt0005336,nm0304098
tt0005339,nm0288616
tt0005354,nm0237713
tt0005402,nm0001124
tt0005414,nm0061955
tt0005436,nm0428059
tt0005489,nm0000122
tt0005529,nm0159725
tt0005542,nm0000122
tt0005557,nm0054977
tt0005571,nm0000122
tt0005622,nm0823088
tt0005654,nm0942917
tt0005660,nm0341185
tt0005661,nm0043018
tt0005661,nm0152260
tt0005675,nm0000779
tt0005675,nm0635667
tt0005676,nm0000779
tt0005677,nm0000779
tt0005678,nm0000779
tt0005678,nm0784407
tt0005679,nm0000779
tt0005680,nm0096705
tt0005680,nm1441208
tt0005719,nm0127511
tt0005753,nm0000779
tt0005809,nm0507150
tt0005810,nm0000122
tt0005812,nm0000122
tt0005864,nm0371278
tt0005891,nm0694632
tt0005891,nm0056799
tt0005910,nm0585495
tt0005916,nm0061955
tt0005951,nm0654581
tt0005955,nm0102643
tt0005960,nm0909825
tt0006032,nm0000122
tt0006115,nm0152260
