"('mid',)","('parentMid',)","('seasonNumber',)","('episodeNumber',)"
tt0194572,tt0159876,13,4
tt0195761,tt0132666,3,2
tt0196767,tt0075471,10,4
tt0196922,tt15441582,1,27
tt0197048,tt0202179,25,1
tt0197367,tt0300745,1,5
tt0197655,tt0132666,3,10
tt0197781,tt0199214,3,2
tt0197942,tt0806910,1,411
tt0198432,tt0076987,1,8
tt0198877,tt0076987,1,13
tt0199398,tt0920489,2,2
tt0199536,tt0920489,2,1
tt0199698,tt0920489,1,1
tt0199708,tt0364151,13,1
tt0199939,tt0046637,1,7
tt0200264,tt0920489,1,2
tt0200412,tt0076987,3,1
tt0200656,tt0132666,3,12
tt0200809,tt0132666,3,8
tt0201232,tt0806910,1,414
tt0201928,tt0159876,18,4
tt0202808,tt0045449,4,2
tt0202821,tt0115243,2,18
tt0203435,tt0147760,4,1
tt0203667,tt0199184,6,1
tt0204491,tt0164295,1,6
tt0204987,tt0147760,4,2
tt0204988,tt0147760,4,3
tt0205447,tt0806910,1,416
tt0205483,tt0159876,27,16
tt0205853,tt0147760,4,4
tt0205996,tt2329424,1,12
tt0206601,tt1415092,3,6
tt0207177,tt0075488,1,2
tt0207544,tt0896232,,
tt0207545,tt0896232,,
tt0207547,tt0896232,,
tt0207550,tt0896232,,
tt0207552,tt0896232,,
tt0207972,tt0132666,3,5
tt0208162,tt0159876,14,10
tt0208197,tt0364151,4,9
tt0208886,tt0147760,3,4
tt0209186,tt0233023,1,10
tt0209297,tt0132666,3,1
tt0209402,tt0806910,1,420
tt0210537,tt0364151,3,4
tt0210968,tt0090509,1,3
tt0211896,tt11924510,1,1
tt0211936,tt11924510,1,2
tt0212061,tt0164295,3,1
tt0212064,tt0164295,1,5
tt0212071,tt0164295,5,4
tt0212089,tt0164295,3,3
tt0212117,tt0164295,5,2
tt0212141,tt0164295,1,9
tt0212156,tt0164295,1,8
tt0212192,tt0164295,5,5
tt0212238,tt0164295,5,1
tt0212243,tt0164295,3,4
tt0212275,tt0164295,4,5
tt0212276,tt0164295,4,4
tt0212281,tt0164295,2,3
